,teks,label,clean_text
0,Selamat! Kamu pengguna baru terpilih yang bisa klaim EXTRA KUOTA 3.75GB di myIM3,2,selamat guna pilih klaim extra kuota myim
1,Paket data HEMAT 50%! Dapatkan 10ribu GoPay Coins dgn transaksi di myIM3 pakai GoPay,2,paket data hemat dapat ribu gopay coins transaksi myim pakai gopay
2,Beriklan di WABA anti ribet pake MyAds yuk! Tutor mudah langsung dapet green thick. Cek myads.id/MyAdsTips97,2,iklan waba anti ribet pakai myads yuk tutor mudah langsung dapet green thick cek myadsidmyadstips
3,"Dapatkan paket data terbaik, 20GB cuma 40rb utk 60 hari. Aktifkan sekarangB!ei *829# atau pembelian lewat WA klik: https://indiraim3.com/hpim3",2,dapat paket data baik aktif sekarangbei beli wa klik httpsindiraimcomhpim
4,EXTRA KUOTA 3.75GB HANYA DI APLIKASI myIM3! Yuk cek kode refferlamu & bagikan utk ambil kuotanya! Info: myim3.co/mgma,2,extra kuota aplikasi myim yuk cek kode refferlamu bagi ambil kuota informasi myimcomgma
5,5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,2,ekstra pulsa beli paket internet bulan mytelkomsel beli sjk augsept cek detail promo tselmemytsel
6,"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",2,iring tarif rupiah panjang rupiah hits armada curi hati tekan okcall informasi
7,Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,2,eks loh internetan pakai volume ultima mbhr harga rupiah tariflokasi cek tselmefl
8,"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",2,aktif iring coboy jr hebat tekan informasi hits baru noah engkau aktif iring nya hp ketik mg noah kirim informasi berkah iring rupiah yuni shara aktif iring nya tkn okcall raih thr puluhanjt henti unreg
9,Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,2,ambil bonus hari bebas pulsa dptkan gratis telpon internetan promo sesuai hobi
10,Anda akan berhenti berlangganan Paket Flash. Ketik FLASH<spasi>YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,2,henti langgan paket flash ketik flashspasiya tuju tunggu sms konfirmasi nonaktif paket
11,Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,2,langgan paket rupiah mbak mbak ghari tuju balas flashspasiya kirim lanjut paket panjang aktif tarif sesuai lokasi tunggu sms konfirmasi pakai informasi zona detail tarif lihat tselmeinternet
12,"Anda akan membeli Paket Gampang Internetan Rp.1250 utk Chatting Sepuasnya (BBM, WhatsApp dan Line)/1 hari.Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan.Tunggu SMS konfirmasi sblm pemakaian.Info detail tariff lihat di Tsel.me/internet ",2,beli paket gampang internetan rupiah chatting puas bbm whatsapp line harijika tuju balas flashspasiya kirim melanjutkantunggu sms konfirmasi pemakaianinfo detail tariff lihat tselmeinternet
